title,year,released_at,director,awards,imdb_votes
10 Things I Hate About You,1999,31-Mar-99,Gil Junger,2 wins & 13 nominations.,"2,83,945"
101 Dalmatian Street,2018–,25-Mar-19,N/A,N/A,124
101 Dalmatians,1996,27-Nov-96,Stephen Herek,Nominated for 1 Golden Globe. Another 3 wins & 9 nominations.,"97,785"
101 Dalmatians 2: Patch's London Adventure,2002,21-Jan-03,"Jim Kammerud, Brian Smith",5 wins & 10 nominations.,"7,434"
102 Dalmatians,2000,22-Nov-00,Kevin Lima,Nominated for 1 Oscar. Another 1 win & 7 nominations.,"33,444"
12 Dates of Christmas,2011,11-Dec-11,James Hayman,1 nomination.,"4,933"
"20,000 Leagues Under the Sea",1954,20-Jul-55,Richard Fleischer,Won 2 Oscars. Another 3 wins & 3 nominations.,"27,761"
A Bug's Life,1998,25-Nov-98,"John Lasseter, Andrew Stanton(co-director)",Nominated for 1 Oscar. Another 14 wins & 20 nominations.,"2,57,065"
A Celebration of the Music from Coco,2020,10-Apr-20,Ron de Moraes,N/A,35
A Goofy Movie,1995,07-Apr-95,Kevin Lima,5 nominations.,"43,655"
A Kid in King Arthur's Court,1995,11-Aug-95,Michael Gottlieb,1 nomination.,"5,479"
A Knight for a Day,1946,08-Mar-46,Jack Hannah,N/A,488
A Ring of Endless Light,2002,23-Aug-02,Greg Beeman,2 wins & 1 nomination.,"1,042"
A Tale of Two Critters,1977,22-Jun-77,Jack Speirs,N/A,59
A Wrinkle in Time,2018,09-Mar-18,Ava DuVernay,5 wins & 15 nominations.,"38,659"
Aladdin,2019,24-May-19,Guy Ritchie,7 wins & 32 nominations.,"2,04,537"
Aladdin,1992,25-Nov-92,"Ron Clements, John Musker",Won 2 Oscars. Another 31 wins & 22 nominations.,"3,56,283"
Aladdin and the King of Thieves,1996,13-Aug-96,Tad Stones,2 wins & 1 nomination.,"31,603"
Aladdin and the Return of Jafar,1994,20-May-94,"Toby Shelton, Tad Stones, Alan Zaslove",1 nomination.,"25,623"
Alice in Wonderland,1951,14-Sep-51,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",Nominated for 1 Oscar. Another 1 nomination.,"1,23,377"
Alice in Wonderland,2010,05-Mar-10,Tim Burton,Won 2 Oscars. Another 33 wins & 63 nominations.,"3,71,772"
Aliens of the Deep,2005,25-Aug-05,"James Cameron, Steven Quale",N/A,"2,586"
All in a Nutshell,1949,02-Sep-49,Jack Hannah,N/A,572
Alley Cats Strike,2000,18-Mar-00,Rod Daniel,1 nomination.,"1,840"
Almost Angels,1962,26-Sep-62,Steve Previn,N/A,309
America's Funniest Home Videos,1989–,26-Nov-89,N/A,4 wins & 6 nominations.,"4,652"
America's Heart & Soul,2004,02-Jul-04,Louie Schwartzberg,1 win & 1 nomination.,557
America's National Parks,2015–,06-Dec-15,N/A,N/A,73
Amy,1981,20-Mar-81,Vincent McEveety,2 nominations.,236
An Extremely Goofy Movie,2000,29-Feb-00,Douglas McCarthy,2 wins & 1 nomination.,"9,244"
Andi Mack,2017–2019,10-Mar-17,N/A,3 wins & 6 nominations.,"1,723"
Annie,1999,07-Nov-99,Rob Marshall,Nominated for 1 Golden Globe. Another 9 wins & 23 nominations.,"4,380"
Apollo: Missions to the Moon,2019,07-Jul-19,Tom Jennings,4 nominations.,130
,,,,,
Around the World in 80 Days,2004,16-Jun-04,Frank Coraci,2 wins & 2 nominations.,"82,011"
Atlantis Rising,2017,29-Jan-17,Simcha Jacobovici,N/A,178
Atlantis: Milo's Return,2003,20-May-03,"Victor Cook, Toby Shelton, Tad Stones",1 nomination.,"7,621"
Atlantis: The Lost Empire,2001,22-Jun-01,"Gary Trousdale, Kirk Wise",2 wins & 14 nominations.,"98,258"
Auntie Edna,2018,06-Nov-18,Ted Mathot,N/A,"1,019"
Austin & Ally,2011–2016,02-Dec-11,N/A,10 wins & 14 nominations.,"8,666"
Avatar,2009,18-Dec-09,James Cameron,Won 3 Oscars. Another 86 wins & 129 nominations.,"10,86,714"
,,,,,
Babes in the Woods,1932,19-Nov-32,Burt Gillett,N/A,799
